dictionary_id,year,carbon_intensity_gco2_per_kwh
10004,2016,309.5560845616403
10004,2017,306.054191125619
10004,2018,226.26504170540326
10004,2019,50.05257749292373
10004,2020,94.60201009569553
10010,2016,inf
10010,2017,inf
10010,2018,34.53681494686705
10010,2019,5.533498151215441
10010,2020,3.9699489506999432
10011,2016,966.5548487200405
10011,2017,954.806661839168
10011,2018,935.790301416821
10011,2019,979.1016877515361
10011,2020,956.8015421798892
10013,2016,1136.1277794265925
10013,2017,1188.643630461443
10013,2018,6120000.0
10013,2019,1911.820241691843
10013,2020,inf
10014,2016,481.55539626612403
10014,2017,508.1011905778511
10014,2018,505.77288576589575
10014,2019,450.7405778855943
10014,2020,480.17357256241667
10021,2016,381.2062971071707
10021,2017,382.6400208080146
10021,2018,381.15058005578965
10021,2019,379.8575515981639
10021,2020,405.073626903118
10026,2016,679.8181682409413
10026,2017,717.9634893613628
10026,2018,1757.726014099459
10026,2019,3045.9012411490107
10026,2020,8493.086622343257
10027,2016,370.6695252023421
10027,2017,365.21707085982484
10027,2018,382.46658418049213
10027,2019,365.3663569698759
10027,2020,370.9493445899412
10029,2016,416.9596015188818
10029,2017,413.5434239671155
10029,2018,422.67657885728295
10029,2019,401.565832439607
10029,2020,426.87000001331495
10030,2016,647.2254226473815
10030,2017,499.4352509099528
10030,2018,570.1975071996027
10030,2019,503.02114950385527
10030,2020,591.0625859428297
10031,2016,394.17959469731716
10031,2017,399.55345158889946
10031,2018,423.02474118845987
10031,2019,394.42120186733143
10031,2020,396.2305743451137
10032,2016,371.78159949001724
10032,2017,373.99894910097174
10032,2018,374.4633409788865
10032,2019,368.73909831194226
10032,2020,380.7452393984097
10033,2016,388.46058663376647
10033,2017,397.9798055814355
10033,2018,405.6487040475696
10033,2019,395.5749468301252
10033,2020,399.27669550610113
10034,2016,414.2472433455899
10034,2017,415.0566233418645
10034,2018,411.9238776875994
10036,2016,385.19392263336573
10036,2017,390.22676590249193
10036,2018,410.86347202776085
10036,2019,392.4822047865158
10036,2020,386.36166381099173
10038,2016,369.5453263002687
10038,2017,373.25849221402854
10038,2018,370.3454258001259
10038,2019,361.47641330155994
10038,2020,365.44000063526215
10039,2016,394.4616248835196
10039,2017,395.2825062347304
10039,2018,404.99211344910407
10039,2019,395.1699522531985
10039,2020,402.43563417383086
10040,2016,648.8921632945021
10040,2017,683.5952955677283
10040,2018,666.9851382473204
10040,2019,661.4359839955129
10040,2020,649.0339394324516
10042,2019,438.1093215712149
10042,2020,379.3476489880653
10043,2016,378.58684161483956
10043,2017,372.4014854224829
10043,2018,400.68226980294065
10043,2019,384.33631546932577
10043,2020,385.6577632678468
10044,2016,375.0936659946596
10044,2017,376.9567780059254
10044,2018,394.16740791216824
10044,2019,389.57994431073354
10044,2020,386.1257954921936
10045,2016,350.92173349636124
10045,2017,351.3109633593082
10045,2018,368.58843654964403
10045,2019,351.6447081339661
10045,2020,355.4713389052892
10046,2016,387.63987680135523
10046,2017,399.59100565749793
10046,2018,424.99034463907844
10046,2019,400.7639248054508
10046,2020,404.4304873358939
10047,2016,348.02004680436534
10047,2017,349.2378910833747
10047,2018,365.46196084508523
10047,2019,353.25018510997006
10047,2020,349.5562531642344
10048,2016,658.4140387581784
10048,2017,657.9819992683352
10048,2018,1574.0974544094565
10048,2019,3561.159108759456
10048,2020,1880.9833403163025
10049,2016,381.7013316414267
10049,2017,387.89913123857116
10049,2018,395.3638286817814
10049,2019,397.4776622394439
10049,2020,400.8798523994063
10051,2016,447.0647019349503
10051,2017,578.4405128340582
10051,2018,453.70564174168476
10051,2019,449.3920903313683
10051,2020,431.70842732134633
10052,2016,400.3147066186201
10052,2017,399.55551530529874
10052,2018,415.23447027653964
10052,2019,393.09819796775037
10052,2020,394.47840778561516
10053,2016,366.4825600066805
10053,2017,364.75999245692435
10053,2018,402.8315619410334
10053,2019,374.38516391011143
10053,2020,378.36906505575377
10054,2016,371.3178779316748
10054,2017,369.79031088426746
10054,2018,398.0510232313723
10054,2019,387.43385074055834
10054,2020,381.3028169153944
10055,2016,383.9363304179074
10055,2017,381.39504302890344
10055,2018,376.7165200126017
10055,2019,369.7285529185652
10055,2020,389.73705623294893
10056,2016,386.81336666450414
10056,2017,386.86420858792604
10056,2018,402.85265936474536
10056,2019,384.241825733307
10056,2020,384.4836102462901
10057,2016,384.7751267719684
10057,2017,389.2568121479732
10057,2018,413.032903142092
10057,2019,381.9370435603591
10057,2020,387.4275829565704
10058,2016,362.4512332673155
10058,2017,365.53185368210495
10058,2018,379.94877937921956
10058,2019,365.23846181470356
10058,2020,364.2442710147591
10059,2016,380.55380999419094
10059,2017,376.326347665736
10059,2018,411.2410486505048
10059,2019,392.11408141246807
10059,2020,393.1707654576341
10065,2016,61.25226637008535
10065,2017,49.70270143530347
10065,2018,47.90785707646779
10065,2019,61.77953602631323
10065,2020,48.551287323595595
10066,2016,1492.6941492728415
10066,2017,1883.2195605797885
10066,2018,2445.853687198687
10066,2019,3159.681904581812
10066,2020,7967.840014413315
10067,2016,359.37777988688106
10067,2017,361.39588756614967
10067,2018,371.69532866773585
10067,2019,367.4085811344771
10067,2020,365.9908815341075
10068,2016,665.5391156544301
10068,2017,773.0567990133419
10068,2018,681.2818583809893
10068,2019,660.0807145634395
10068,2020,620.0693767152121
10070,2016,444.893482918928
10070,2017,460.11368338441395
10070,2018,462.58783983783513
10070,2019,440.75898998793184
10070,2020,447.2410269151762
10091,2016,1119.9294889159323
10091,2017,1114.3578484482418
10091,2018,1109.17981194633
10091,2019,1110.0842027003523
10091,2020,1985.6750180476938
10097,2016,1065.1950718685832
10097,2017,1017.5660435391818
10097,2018,1057.1371690224964
10097,2019,1014.6628197399018
10097,2020,1342.1534011145616
10101,2016,403.64947901809694
10101,2017,384.990776265184
10101,2018,398.6513692331399
10101,2019,375.1956192423027
10101,2020,376.3564696635851
10104,2016,1104.2262965423467
10104,2017,1110.8561831016982
10104,2018,1103.1223913554122
10104,2019,1125.4971856499717
10104,2020,1070.0078755792345
